Trial Number, Bar Width, Distance, ID, Average Time, Time 1, Time 2, Time 3, Time 4, Time 5Time 6, Time 7, Time 8, Time 9, Time 10,
2,100,600,2,0.442478442,0.478764057,0.412169456,0.445052862,0.413782597,0.433615923,0.395602942,0.447537184,0.449353933,0.504973888,0.44393158
15,150,900,2,0.47409184,0.528105736,0.458011627,0.468817949,0.508531332,0.463972569,0.480941296,0.462186813,0.457687855,0.464065075,0.448598146
11,75,450,2,0.486557937,0.895292044,0.696003437,0.509748936,0.379752636,0.381910086,0.359883785,0.447333574,0.40074563,0.328678131,0.466231108
6,50,500,3,0.518946695,0.692268848,0.503531694,0.675408602,0.489944696,0.557096958,0.428885221,0.54703021,0.438238621,0.413425207,0.443636894
1,100,1000,3,0.522676849,0.722062111,0.507745743,0.475803375,0.547342062,0.54245162,0.464670658,0.496082783,0.466351032,0.459946871,0.544312239
8,75,750,3,0.569639206,0.65139389,0.531085014,0.465773582,0.4488554,0.447434187,0.843593121,0.615716934,0.379337549,0.499386787,0.813815594
5,50,900,4,0.599105477,0.607904911,0.693944693,0.761168003,0.591120958,0.584547758,0.530629873,0.641857386,0.491662502,0.524525881,0.563692808
14,25,450,4,0.622510266,0.541862488,0.541283369,0.511395931,0.910142183,0.692182779,0.613960505,0.514077425,0.672932148,0.681213617,0.546052217
10,10,180,4,0.644814968,0.708048344,0.539464474,0.694244862,0.444612503,0.739253759,0.573762178,0.607218266,0.658067942,0.857275963,0.626201391
12,10,335,6,0.720519495,0.730867386,0.6270504,0.642931938,0.61756134,0.747126579,0.700884819,0.927809715,0.685664892,0.660593987,0.864703894
4,15,510,5,0.74401772,0.621393204,0.685790539,0.749244452,0.797676563,0.821080446,0.600383759,0.764256477,0.775575161,0.763942242,0.86083436
13,10,340,5,0.754401946,0.724745274,0.629337549,0.715116024,0.748682261,0.826427221,0.714020491,0.774648428,0.812892437,0.757302761,0.840847015
7,25,850,5,0.756563544,0.738603592,0.747158527,0.758684158,0.762294292,0.697995424,1.23404026,0.712669373,0.682408333,0.630668163,0.601113319
3,10,660,6,0.914366889,0.785199642,0.846850872,1.397161961,1.117374659,0.866290331,0.762291908,0.80356288,0.762473583,0.901296377,0.901166677
9,15,990,6,0.968803334,0.865687132,0.816917658,0.978528738,1.810844183,0.94001317,0.755796194,0.844395638,0.965308189,0.844814301,0.86572814
